feature,importance
trip_count_rolling_3h,0.5117823
trip_count_lag_1,0.23770176
trip_count_lag_2,0.2010838
hour_cos,0.015421999
start_station_latitude,0.0054030884
trip_count_rolling_6h,0.005300465
temp_wind,0.0026603565
trip_count_rolling_24h,0.0026141854
is_rush_hour,0.0018896813
humidity,0.001879147
trip_count_lag_3,0.0013423456
season,0.0013320139
station_avg_trips,0.001222279
hour_sin,0.001102106
temp_humidity,0.001063264
max_temperature,0.0010187012
station_std_trips,0.000955217
wind_speed,0.00092718884
temperature,0.0009040043
trip_count_lag_24,0.0008405977
month_sin,0.00072635297
start_station_longitude,0.00072009413
min_temperature,0.00050300977
dayofweek_cos,0.00048723054
dayofweek_sin,0.0004056285
month_cos,0.00026283678
sunshine,0.00021210703
is_weekend,9.747508e-05
is_holiday,8.386561e-05
precipitation,5.6900608e-05
is_cold,0.0
is_hot,0.0
is_rainy,0.0
rain_wind,0.0
